domain,ideology,type
thestar.com,-0.3687,international
herald-review.com,,local
wandtv.com,,
wsfa.com,0.1467,
texastribune.org,-0.332,local
wickedlocal.com,-0.2532,local
dailyitem.com,0.2385,local
kmov.com,0.0197,
wzzm13.com,-0.0763,
jacobinmag.com,-0.803,national
kptv.com,-0.1361,
gulfnews.com,-0.0795,local
pe.com,0.0317,local
dallasobserver.com,0.1962,local
hindustantimes.com,-0.1009,international
wiltonbulletin.com,,local
shelbynews.com,,local
metrotimes.com,-0.5513,local
thestate.com,0.0758,local
dailyherald.com,0.1127,local
whidbeynewstimes.com,,local
tyt.com,,
weau.com,,
wjactv.com,0.4287,
wsvn.com,0.0577,
elpasotimes.com,-0.3264,local
smartbrief.com,0.0743,national
kentucky.com,0.0917,local
citizensvoice.com,0.2122,local
fairmontsentinel.com,,local
somerset-kentucky.com,,local
hcnews.com,,local
bcrnews.com,,local
whnt.com,0.4625,
phoenixnewtimes.com,-0.4061,local
greenwichtime.com,-0.1122,local
nbc-2.com,0.3623,
wbbjtv.com,,
taskandpurpose.com,-0.0358,national
pressconnects.com,-0.0097,local
standardspeaker.com,0.2101,local
kdka.com,,
staradvertiser.com,0.0743,local
lacrossetribune.com,0.1215,local
newsok.com,0.4456,local
elkharttruth.com,,local
mysuburbanlife.com,,local
kvoa.com,0.2186,
weartv.com,0.5108,
thetimes-tribune.com,-0.0402,local
katv.com,0.1035,
abs-cbn.com,,international
wave3.com,0.1931,
wkrn.com,0.3045,
kalb.com,0.4986,
cookpolitical.com,-0.3078,national
spokesman.com,0.0198,local
wn.com,0.0313,national
onwardstate.com,0.265,local
ksn.com,0.5805,
wlbt.com,,
wpri.com,-0.1903,
wtnh.com,0.1188,
universalhub.com,-0.6899,local
abc10.com,0.1524,
ctvnews.ca,-0.0435,international
theadvertiser.com,0.3796,local
riverfronttimes.com,-0.4402,local
citybeat.com,-0.3737,local
kgw.com,-0.1708,
wkrg.com,0.1309,
smh.com.au,-0.1802,international
mcclatchydc.com,-0.1175,national
palmbeachpost.com,0.0766,local
macon.com,0.2181,local
goupstate.com,0.2843,local
fox43.com,0.4509,
ktvu.com,-0.0149,
kwqc.com,0.2925,
portlandmercury.com,-0.8211,local
lbpost.com,,local
witn.com,0.1935,
blacknews.com,-0.6366,national
dailypress.com,-0.0883,local
courierpostonline.com,-0.086,local
heraldcourier.com,0.115,local
poststar.com,0.2347,local
theherald-news.com,,local
fox8live.com,0.2408,
wbay.com,0.2115,
wfxg.com,,
woodtv.com,0.2122,
blavity.com,-0.8179,national
thehindu.com,-0.334,international
tuscaloosanews.com,0.3539,local
12news.com,0.1167,
kxan.com,0.0761,
whsv.com,0.0343,
wlky.com,0.2107,
recordonline.com,-0.0162,local
napavalleyregister.com,0.1744,local
nebraska.tv,0.6493,
wsoctv.com,0.3071,
isthmus.com,-0.7832,local
jacksonville.com,0.3326,local
hickoryrecord.com,0.3964,local
thetelegraph.com,,local
chronicleonline.com,,local
katc.com,0.4374,
krqe.com,0.0332,
wivb.com,0.0877,
ctpost.com,-0.0683,local
jconline.com,0.091,local
smokymountainnews.com,,local
rrstar.com,,local
whdh.com,-0.0981,
wsls.com,-0.0205,
rutlandherald.com,-0.1776,local
joplinglobe.com,0.3463,local
tnonline.com,,local
ktnv.com,0.1886,
mediamatters.org,-0.7221,national
metro.us,-0.402,local
foreignaffairs.com,-0.3666,national
montgomeryadvertiser.com,-0.1615,local
thenewstribune.com,-0.0753,local
conservativereview.com,0.9036,national
theitem.com,,local
northcoastjournal.com,,local
lansingstatejournal.com,0.0795,local
republicanherald.com,0.2475,local
thestarpress.com,0.2668,local
ldnews.com,0.4414,local
wahpetondailynews.com,,local
wboy.com,0.1722,
wchstv.com,0.15,
governing.com,-0.2802,national
desertsun.com,-0.1163,local
heraldsun.com.au,0.2707,international
staugustine.com,0.361,local
spiked-online.com,0.3727,international
therightscoop.com,0.8978,national
sanclementetimes.com,,local
parispi.net,,local
grandhaventribune.com,,local
fox61.com,0.1758,
wng.org,,
wweek.com,-0.6215,local
psmag.com,-0.5787,national
counterpunch.org,-0.338,local
tallahassee.com,0.179,local
idahostatejournal.com,0.4792,local
auroranewsregister.com,,local
htrnews.com,,local
laweekly.com,-0.4391,local
newsleader.com,-0.0708,local
toledoblade.com,-0.0608,local
cecildaily.com,0.1744,local
kansas.com,0.4304,local
waaytv.com,,
wfsb.com,0.0136,
wtvm.com,,
citypages.com,-0.5999,local
mountainx.com,-0.3883,local
thenational.ae,-0.2521,international
postandcourier.com,-0.2406,local
broadcastingcable.com,-0.1685,local
annistonstar.com,0.1353,local
nowthisnews.com,0.1546,national
rgj.com,0.1664,local
richmondregister.com,0.2305,local
news-expressky.com,,local
kltv.com,0.4223,
azdailysun.com,-0.2053,local
newstimes.com,-0.0205,local
thesouthern.com,0.0015,local
sbsun.com,0.1353,local
wcpo.com,0.1679,local
stripes.com,0.3034,national
tcpalm.com,0.3656,local
waff.com,0.6165,
wsbt.com,0.331,
sandiegoreader.com,0.0358,local
oann.com,0.8644,national
mrctv.org,0.8813,local
thecabin.net,,local
fergusfallsjournal.com,,local
wndu.com,0.2519,
wtok.com,,
currentaffairs.org,-0.6556,national
cjr.org,-0.5885,national
euronews.com,-0.2407,international
columbiamissourian.com,-0.2004,local
modbee.com,0.1274,local
publicopiniononline.com,0.337,local
baytownsun.com,,local
thetab.com,-0.1109,
houstonpress.com,-0.3442,local
people-press.org,-0.3363,national
wvgazettemail.com,-0.2868,local
redlandsdailyfacts.com,,local
wilx.com,,
wlox.com,0.2466,
indyweek.com,-0.6203,local
beaumontenterprise.com,-0.2306,local
theaustralian.com.au,-0.0369,international
centredaily.com,0.1504,local
dailytelegraph.com.au,0.1737,international
bdtonline.com,0.2999,local
record-eagle.com,,local
sina.com.cn,,international
magnumphotos.com,-0.7156,national
amny.com,-0.4638,local
abqjournal.com,-0.1089,local
greenecountycommonwealth.com,,local
saukvalley.com,,local
crooked.com,,national
afp.com,-0.3436,international
theamericanconservative.com,0.2098,national
jonesborosun.com,,local
hudsonvalleyone.com,,local
lmtribune.com,,local
thisweeknews.com,,local
daystar.com,0.545,
nbc15.com,0.2197,
poynter.org,-0.5139,national
kitv.com,-0.0265,local
multichannel.com,0.0223,national
coloradoan.com,0.0497,local
weeklystandard.com,0.6389,national
fox19.com,0.4769,
kfoxtv.com,0.1708,
wset.com,0.4785,
mediapost.com,-0.1582,national
sunjournal.com,-0.0492,local
gainesville.com,-0.0327,local
statesman.com,-0.0242,local
eagletribune.com,0.0239,local
pnj.com,0.4635,local
thespectrum.com,0.4745,local
reuters.tv,-0.4307,international
law.com,-0.1377,national
adn.com,-0.1124,local
uticaod.com,0.2141,local
commentarymagazine.com,0.4875,national
rblandmark.com,,local
crescent-news.com,,local
14news.com,0.2809,
5newsonline.com,,
kold.com,,
wtxl.com,0.2042,
shareblue.com,-0.7856,national
spiegel.de,-0.4226,international
press-citizen.com,-0.0038,local
shreveporttimes.com,0.3265,local
thenewsstar.com,0.3706,local
naplesnews.com,0.374,local
gowilkes.com,,local
thebulwark.com,,national
kcchronicle.com,,local
wisn.com,0.0974,
providencejournal.com,-0.3751,local
news-gazette.com,0.1922,local
greeleytribune.com,0.2,local
city-journal.org,0.5366,national
projectveritas.com,0.8903,national
valdostadailytimes.com,,local
aol.com/news,,
wwmt.com,0.3335,
styleweekly.com,-0.4746,local
airforcetimes.com,-0.108,national
navytimes.com,0.3479,national
lemarssentinel.com,,local
mvprogress.com,,local
koat.com,0.0144,
washingtoncitypaper.com,-0.6925,local
dailyastorian.com,-0.2133,local
columbiatribune.com,-0.0648,local
dailybreeze.com,-0.0628,local
eastbaytimes.com,0.0924,local
delmarvanow.com,0.1305,local
chronline.com,,local
chippewa.com,,local
chipleypaper.com,,local
eltiempo.com,-0.2275,
ksnt.com,0.4061,
kwwl.com,0.3384,
wwlp.com,-0.1546,
hcn.org,-0.592,local
elnuevoherald.com,0.0487,local
nonpareilonline.com,0.5956,local
tribstar.com,,local
conservativeminute.com,,
kristv.com,,
ksby.com,,
kvue.com,0.1063,
clevescene.com,-0.3864,local
fark.com,-0.2713,national
postcrescent.com,-0.013,local
ocala.com,0.248,local
bhcourier.com,,local
dnronline.com,,local
