"","domain","twitter_handle"
"315","dailycaller.com","dailycaller"
"316","dailycaller.com","thedcpolitics"
"317","dailycaller.com","thedcbusiness"
"318","dailycaller.com","check_your_fact"
"319","dailycaller.com","thedcworldnews"
"320","dailycaller.com","thedc_opinion"
"321","nj.com","njdotcom"
"322","reason.com","reason"
"323","esquire.com","esquire"
"324","theblaze.com","theblaze"
"325","vanityfair.com","vanityfair"
"326","newsmax.com","newsmax"
"327","apnews.com","ap"
"328","apnews.com","apbusiness"
"329","apnews.com","ap_politics"
"330","apnews.com","apfactcheck"
"331","apnews.com","ap_noticias"
"332","bizjournals.com","bhambizjrnl"
"333","newsweek.com","newsweek"
"334","inforum.com","inforum"
"335","pennlive.com","pennlive"
"336","freep.com","freep"
"337","mirror.co.uk","DailyMirror"
"338","seattletimes.com","seattletimes"
"339","washingtonexaminer.com","dcexaminer"
"340","washingtonexaminer.com","dailyondefense"
"341","washingtonexaminer.com","redalert"
"342","washingtonexaminer.com","examineropeds"
"343","washingtonexaminer.com","washexaminer"
"344","insider.com","thisisinsider"
"345","indiatimes.com","indiatimes"
"346","thesun.co.uk","TheSun"
"347","newsobserver.com","cary_news"
"348","yakimaherald.com","yakima_herald"
"349","oregonlive.com","Oregonian"
"350","newyorker.com","newyorker"
"351","newyorker.com","tnynews"
"352","westernjournal.com","westjournalism"
"353","ynetnews.com","ynetnews"
"354","heavy.com","HeavySan"
"355","ibtimes.co.in","ibtimes_india"
"356","thenation.com","thenation"
"357","theweek.com","theweek"
"358","salon.com","salon"
"359","ajc.com","ajc"
"360","inquisitr.com","theinquisitr"
"361","heraldmailmedia.com","heraldmailnews"
"362","motherjones.com","motherjones"
"363","altoonamirror.com","altoonamirrorpa"
"364","rt.com","rt_com"
"365","rt.com","rt_america"
"366","rasmussenreports.com","rasmussen_poll"
"367","spectator.org","amspectator"
"368","mcall.com","mcall"
"369","elitedaily.com","elitedaily"
"370","ljworld.com","ljworld"
"371","startribune.com","startribune"
"372","realclearpolitics.com","realclearnews"
"373","realclearpolitics.com","rcinvestigates"
"374","realclearpolitics.com","rcdefense"
"375","realclearpolitics.com","realclearpolicy"
"376","realclearpolitics.com","rc_markets"
"377","realclearpolitics.com","realclearworld"
"378","bostonglobe.com","bostonglobe"
"379","bostonglobe.com","globespotlight"
"380","bostonglobe.com","globebiz"
"381","bostonglobe.com","globeopinion"
"382","bostonglobe.com","bostonglobemag"
"383","bostonglobe.com","globepolitical"
"384","bostonglobe.com","globeideas"
"385","journalstar.com","journalstarnews"
"386","unionleader.com","unionleader"
"387","omaha.com","bellevueleader"
"388","cjonline.com","cj_news"
"389","vindy.com","vindicator"
"390","alternet.org","alternet"
"391","parade.com","ParadeMagazine"
"392","sun-sentinel.com","sunsentinel"
"393","palmerreport.com","palmerreport"
"394","telegraph.co.uk","Telegraph"
"395","kansascity.com","kcstar"
"396","theonion.com","theonion"
"397","theonion.com","onionpolitics"
"398","democracynow.org","democracynow"
"399","upi.com","upi"
"400","upi.com","secindustrynews"
"401","townhall.com","townhallcom"
"402","townhall.com","townhallfinance"
"403","townhall.com","townhallcolumns"
"404","philly.com","phillydailynews"
"405","gadsdentimes.com","gadsdentimes"
"406","pressofatlanticcity.com","ThePressofAC"
"407","axios.com","axios"
"408","axios.com","axiosworld"
"409","washingtontimes.com","washtimes"
"410","washingtontimes.com","wtimespolitics"
"411","washingtontimes.com","washtimesoped"
"412","sanluisobispo.com","thecambrian"
"413","charlotteobserver.com","theobserver"
"414","statesmanjournal.com","salem_statesman"
"415","economist.com","econus"
"416","jpost.com","Jerusalem_Post"
"417","citizen-times.com","asheville"
"418","crooksandliars.com","crooksandliars"
"419","sandiegouniontribune.com","sdut"
"420","miamiherald.com","miamiherald"
"421","infowars.com","infowars"
"422","infowars.com","prisonplanettv"
"423","infowars.com","infowarsinsider"
"424","deseretnews.com","deseretnews"
"425","fortune.com","fortunemagazine"
"426","tulsaworld.com","baledger"
"427","newsday.com","newsday"
"428","heraldextra.com","heraldextra"
"429","twitchy.com","twitchyteam"
"430","boston.com","bostonangela"
"431","stltoday.com","stltoday"
"432","cbc.ca","CBC"
"433","qz.com","qz"
"434","desmoinesregister.com","heraldindex"
"435","sltrib.com","sltrib"
"436","ozy.com","ozy"
"437","mlive.com","annarbornews"
"438","stgeorgeutah.com","stgnews"
"439","politifact.com","politifact"
"440","politifact.com","punditfact"
"441","syracuse.com","syracusedotcom"
"442","hbr.org","harvardbiz"
"443","denverpost.com","denverpost"
"444","adweek.com","Adweek"
"445","journal-news.net","thejournalwv"
"446","sfchronicle.com","sfchronicle"
"447","salisburypost.com","salisburypost"
"448","pilotonline.com","insidebusiness"
"449","star-telegram.com","startelegram"
"450","heraldsun.com","theherald_sun"
"451","ibtimes.com","ibtimes"
"452","ijr.com","theijr"
"453","gallup.com","gallupnews"
"454","suntimes.com","suntimes"
"455","wtop.com","WTOP"
"456","outbrain.com","Outbrain"
"457","richmond.com","rtdnews"
"458","mercurynews.com","mercnews"
"459","tampabay.com","tb_times"
"460","theconversation.com","conversationus"
"461","trib.com","cstribune"
"462","baltimoresun.com","baltimoresun"
"463","mediaite.com","mediaite"
"464","orlandosentinel.com","orlandosentinel"
"465","tribdem.com","tribunedemocrat"
"466","theadvocate.com","2theadvocate"
"467","pewresearch.org","pewresearch"
"468","pewresearch.org","pewglobal"
"469","pewresearch.org","pewhispanic"
"470","starnewsonline.com","starnewsonline"
"471","fredericknewspost.com","frednewspost"
"472","indianexpress.com","IndianExpress"
"473","scientificamerican.com","sciam"
"474","thefederalist.com","fdrlst"
"475","france24.com","France24_en"
"476","aljazeera.com","aljazeera.com"
"477","bnd.com","bellevillenewsd"
"478","seattlepi.com","seattlepi"
"479","greensboro.com","newsandrecord"
"480","freebeacon.com","freebeacon"
"481","cincinnati.com","enquirer"
"482","thehour.com","thehournews"
"483","theintercept.com","theintercept"
"484","nola.com","nolanews"
"485","democratandchronicle.com","dandc"
"486","c-span.org","cspan"
